BRPTitle,BRPGroupLoginName
BRP_Eqtherm Szymon Milewski,c:0t.c|tenant|80ca1128-6e60-48cd-8f9b-d3cf906c2e1c
BRP_Equinoxe Kft.,c:0t.c|tenant|7b27c8ef-989a-485c-a15b-61d4f67ec820
BRP_Erkasis Sogutma Isitma Sistemler,c:0t.c|tenant|6c4414a6-5767-44be-b98e-9ac0a78bd9ce
"BRP_E S L, a.s.",c:0t.c|tenant|baab9092-561a-48b1-a028-c7156f41ba24
BRP_ETL-Ekotherm a.s.,c:0t.c|tenant|ab56f064-7a91-4722-aab4-bb4f326f3bdf
BRP_EU-Energia Kft.,c:0t.c|tenant|ae54885a-7a1b-4103-9448-7ea742c4850c
"BRP_EURO COBIL, S.L",c:0t.c|tenant|8d9fe27f-479b-4bd2-be33-6cd621be10fd
BRP_EUROKLIMAT SPA,c:0t.c|tenant|b2ec551e-78bd-4a5c-a4ca-75c76d7f8156
BRP_Evaprov Cooling Technologies P Ltd,c:0t.c|tenant|380d0599-bc1d-4811-81fd-843dff575337
BRP_Evonik Agroferm Zrt.,c:0t.c|tenant|446cf695-efd1-4cf0-8444-97039628bbe3
BRP_Expoelle - Trading as Cooliong Tower sales & Service,c:0t.c|tenant|a5b18ea5-2be6-4b4b-8f36-2cf971838eb8
BRP_Farrell Consulting Eng.,c:0t.c|tenant|e55c5979-7593-4ecb-aa08-33dc526a7b9a
BRP_FEC India P Ltd,c:0t.c|tenant|ab5560a6-77ad-4722-b823-c820b98d5b25
BRP_Fernanda de Barros Dias - Me,c:0t.c|tenant|d8940bad-1b38-4693-87eb-eda8075a06fa
BRP_Ferrari S.p.a.,c:0t.c|tenant|d620e96b-afbb-49bc-82e9-d30d7adef5ee
BRP_FIDEMAR S.A. Uruguay,c:0t.c|tenant|710e97f7-1b1f-4cb4-94c8-783c5019d33e
BRP_Fieuw Koeltechniek,c:0t.c|tenant|db119d10-de41-42b6-a4f4-8473dfab6f5c
BRP_Filter AB,c:0t.c|tenant|26b591e5-f40d-46b1-a543-45075d40077a
BRP_Fioravanti S.r.l.,c:0t.c|tenant|4443525b-6f1c-433d-a7ac-62c9ea13e53d
BRP_Flowone,c:0t.c|tenant|fd3a20cb-43a9-4def-ab3a-4d12a2efeada
"BRP_Flowserve Spain, S.L.",c:0t.c|tenant|f8d69caf-3924-444b-9bea-ae65a51c64ee
BRP_Fluidhouse Oy,c:0t.c|tenant|d509804d-6906-47d5-a953-7371d1a384d5
BRP_Fluid Industry Nederland,c:0t.c|tenant|7dcc7121-1ec0-48d8-b4a7-eeb9c3fd9076
BRP_Fluid System 80 S.r.l.,c:0t.c|tenant|aed78cd7-aa37-47cf-86d0-d796f0dcc95d
BRP_FLUID & THERMAL MANAGEMENT,c:0t.c|tenant|c50d4a2b-30eb-42d1-9ca6-9c9e7b649554
BRP_Fo. In. Impianti Industriali S.r.l.,c:0t.c|tenant|9392e01b-637d-4bd7-9aa5-cc4209022c33
BRP_Foreman Roberts,c:0t.c|tenant|21a55e04-7738-456f-8458-310b9dd933d4
BRP_Fortes Import Installati,c:0t.c|tenant|d9c47f4d-208b-4f1a-9e10-3730c772a755
BRP_Foshan Taihao Mechanical and Electrical engineering,c:0t.c|tenant|33f2cafc-3b48-44fa-afa8-8ddfd83efcc4
BRP_Frese A/S,c:0t.c|tenant|35afe9ad-8138-4094-b353-898836460fff
BRP_Fresh Air,c:0t.c|tenant|e30cbcfa-7a3d-497f-ae2a-5f1a6307f34e
BRP_Frigadon AB,c:0t.c|tenant|41e6d93c-34b1-4851-a22b-a6762ae658cc
BRP_Frigoduman So?utma,c:0t.c|tenant|71e0176a-1cc7-4dc6-8c5c-b5d602a4f23c
BRP_Frigoduman Sogutma San. Ve Tic. A.S.,c:0t.c|tenant|25af86f8-d5e9-4797-9b1e-92e25c4b9124
BRP_Frigomeccanica S.p.A.,c:0t.c|tenant|5d7490fd-686c-402a-a129-1226cbe91928
BRP_Frigoriferi Industriali,c:0t.c|tenant|9f9aba01-37ad-4855-a0a4-9f8b3608ca0e
BRP_Frigor s.r.l.,c:0t.c|tenant|3fac3bac-5ce3-4067-9585-569e4f027aa0
BRP_FRIGO TECNICA INTERNAZIONALE,c:0t.c|tenant|707cd929-4dd5-441f-b2a3-c00ffd2c7f0a
BRP_Frigotehnica,c:0t.c|tenant|63f258db-d8b6-4019-9309-deabb7618a0e
BRP_FRIGOTHERM FERRARI SRL,c:0t.c|tenant|1d9b8f69-0a2f-4aa0-9d47-373f54a2f7a5
BRP_Frigro NV,c:0t.c|tenant|c5b2f125-0871-4691-a077-4385e4340424
BRP_Frionordica AS,c:0t.c|tenant|3d729cc8-390e-4353-bc2f-da16fe9815b8
BRP_Friteks SIA,c:0t.c|tenant|d19c5d00-d786-47ce-a749-2c2d774b97bb
BRP_FRIULAIR,c:0t.c|tenant|7ec7e1d8-eaa5-4b71-9756-12deb0d9ac65
BRP_FROZTEC Colombia LTDA,c:0t.c|tenant|a393ec73-9fe9-427f-ba56-a883e20e9694
"BRP_Froztec de Mexico, S. de R.L. de C.V.",c:0t.c|tenant|51d6669e-e561-4c76-a1cc-ecd4f31cbb68
BRP_Froztec International Inc.,c:0t.c|tenant|ecb4f013-6afc-4355-9438-10d2cf911768
BRP_Fuzyon Group,c:0t.c|tenant|c67c2bad-093b-4477-8a24-7067b0fa0748
BRP_F�zyon Isi Malz. San. Tic.,c:0t.c|tenant|ff77ba07-7034-4de4-a237-f97e9ddd21ac
BRP_F�zyon Isi Malz. San. Tic. - Istanbul,c:0t.c|tenant|3da8cc3f-d207-43cc-8cb6-4b6f27e7ea8b
BRP_GAA-Lobex Sp. z o.o.,c:0t.c|tenant|44cc1d38-eb30-45d3-b8ad-83f656de1b71
BRP_GALLETTI S.p.A,c:0t.c|tenant|61bf0b59-19de-4ca3-a622-0a3a6c9b99d6
BRP_Gardner Denver Oy,c:0t.c|tenant|684f4128-3c83-4014-b216-9fd0d1c0f1ea
BRP_GasParts-Europe Kft.,c:0t.c|tenant|5fc67534-f109-4606-a658-5a01a9594f05
BRP_Gebwell Oy - Lepp�virta,c:0t.c|tenant|599c2e96-d5bb-4cc1-bee0-9f8300d7e82c
BRP_Gebwell Sp. z o.o.,c:0t.c|tenant|77083946-5005-45da-9fd2-6062e90fb5ad
BRP_Geerlofs Koeltechniek bv,c:0t.c|tenant|85ed91b5-16bc-4d81-b557-eae58976fe79
BRP_Geerlofs Refrigeration,c:0t.c|tenant|3e879ffc-eb93-46cc-abcf-0d95ddbaaa74
BRP_GEMAK GIDA MAK. SAN. VE TIC. LTD. STI.,c:0t.c|tenant|1ce5979b-6cf7-4849-95e3-332be93fbe9a
BRP_Gemtas Genel Muh. Taah. San ve Tic A.S.,c:0t.c|tenant|6924e584-d553-4f31-8016-1e04c3d485ae
BRP_GH Induction,c:0t.c|tenant|c154bcb0-1427-4893-9f3e-0b7d61095788
BRP_Gia Phu Technology Corporation,c:0t.c|tenant|edad2e1b-da45-4823-ae53-a3a0c5b2c67d
BRP_GiA-S Industrijska oprema d.o.o.,c:0t.c|tenant|bb1ebe26-2eb8-4672-a6a9-c02dce513e8c
BRP_Gidropotok,c:0t.c|tenant|9ab889c4-2df6-4627-9bf2-fdd4c64b13da
BRP_GINER,c:0t.c|tenant|48a7305f-260b-4a70-b432-c9338118dbc0
BRP_Global Energy Systems Ltd,c:0t.c|tenant|f69ee7d2-1b0a-4a66-8777-146d271cee04
BRP_GLOBAL PROCESSING SOLUTIONS S.A,c:0t.c|tenant|1aef1c6d-b797-4f7a-874e-7e5731b2d1bc
BRP_Globes SA,c:0t.c|tenant|44d5e54a-55d7-4a8a-836b-e1d2109017e5
BRP_GMD Genel Mekanik Dizayn Muhendislik,c:0t.c|tenant|ed970920-f27c-48af-b545-91e3ce127b40
BRP_GMD M�hendislik Ltd Sti,c:0t.c|tenant|6ac17b25-6e41-4827-80a6-b090bc704a01
BRP_GN M�hendislik Taahh�t Tic. ve San. Ltd. Sti.,c:0t.c|tenant|e17495ab-5fad-4c03-b421-83ee5873ba74
BRP_GOELBRA INDUSTRIAL SA DE,c:0t.c|tenant|a1761373-1551-411b-aa1f-342ef69a80fe
BRP_Go Geothermal Ltd,c:0t.c|tenant|bbc66001-6200-4632-a145-5b8c02c7272e
BRP_Google Inc,c:0t.c|tenant|b03d42ca-e6e8-4cbb-8ca7-88e69be7ce96
BRP_G.P. CLIMA SRL,c:0t.c|tenant|4fff1d1a-b1c7-4980-bb71-fe2d9e3df6b1
BRP_Graeme Page Consulting Engineers CC,c:0t.c|tenant|e9543f1b-4caf-47cc-a7e6-b113b6908f98
BRP_Granlund Tampere Oy,c:0t.c|tenant|ac50f44f-f4ca-49cc-ac23-673289025fbc
BRP_GRASSO SRL,c:0t.c|tenant|d2da4ee0-2591-49f0-a65a-49e10643548e
BRP_Greater London Authority,c:0t.c|tenant|cc19ecca-af1d-4723-9472-eff5ede7078a
BRP_Green Phoenix Ltd,c:0t.c|tenant|ff45c4e1-88c9-46a6-83f0-c90231cfc7f1
BRP_Green Resource Engineering,c:0t.c|tenant|15937e42-32fa-4a60-860a-d7e80c60db63
BRP_Green Resource Engineering Ltd,c:0t.c|tenant|691343ec-c840-4d5c-b655-0fbb4d58ca12
BRP_Groupe Atlantic,c:0t.c|tenant|3912196b-c16e-44c2-a8b6-fdc538d17104
BRP_GRUPO ACCURATIO S.A. (Flowing),c:0t.c|tenant|74a0fede-5c71-467c-a1d4-1c228fceb8cb
BRP_GS Process Engineers,c:0t.c|tenant|438f51f6-f4b0-4e9a-ab31-ce1a0ecf7b3f
BRP_G.S.Process Engineers,c:0t.c|tenant|d6cfbcf8-0eea-4149-a3fa-8410c4c40642
BRP_GST S.a.S. di Franco Tavani & C.,c:0t.c|tenant|34b3877f-4582-4af9-8117-7039d6dac4bf
BRP_Guangzhou Kaiyan Mechanical & Electrical Equipment,c:0t.c|tenant|799bdf21-90be-4885-b82a-3cebdb4bb589
BRP_G�rdal M�hendislik,c:0t.c|tenant|e7d7c01e-0061-4d77-a8ff-ba9312e3c469
BRP_Haffmans BV,c:0t.c|tenant|3c6f81b0-61b6-4652-b327-434e93d0e28d
BRP_Hangzhou Baofa Machinery & Electron,c:0t.c|tenant|97dc7666-d78e-487f-9136-b2dd5f273072
BRP_Harbin Great Science & Technology Development,c:0t.c|tenant|e6ecadb4-7347-458e-8a18-fb4f39077bdf
BRP_Hashimoto-SAngyo,c:0t.c|tenant|347c9ace-9623-4101-a65d-f41015e13f39
BRP_HBE GmbH,c:0t.c|tenant|26b5c623-8767-4140-8d45-bcb45e154dcc
BRP_HDR Products (Pty) Ltd,c:0t.c|tenant|27057e6d-d673-4264-89df-4e81ea2f3f6a
BRP_Hea Tech Korea,c:0t.c|tenant|9b347979-65fa-459d-be53-7da489bc5ca1
BRP_Heatech Korea,c:0t.c|tenant|4080dc1c-78d7-4456-ba15-68f5aac65c3e
BRP_Heatech Korea Co. Ltd.,c:0t.c|tenant|51526648-eb85-47b1-a98e-fede598d2a99
BRP_Heatmerchants,c:0t.c|tenant|56ef98a7-9182-4245-ab66-0fcecd7e5a1b
BRP_HeaTranz Solutions,c:0t.c|tenant|0409c26e-58e7-4225-b99a-d0fa90858234
BRP_Heinen Hopman,c:0t.c|tenant|05e28a69-1e6a-44c2-b41e-19f089fd1b67
BRP_Hevac Ltd,c:0t.c|tenant|74749100-b33b-4a17-8b6b-e5667ca98880
BRP_Hex-Technology Co.,c:0t.c|tenant|5c9210c0-fa8f-4d10-a57f-db41273815cd
BRP_Hicool Refrigeration Engineering,c:0t.c|tenant|26c1c3a0-e526-4811-b588-c0de6efa35ba
BRP_HIDRODISELEC (HIDROCANTABRIA),c:0t.c|tenant|182e6ac6-781f-4070-a686-8baabba1efed
BRP_Hidrokalor Canarias,c:0t.c|tenant|35ff1994-8476-4cc7-8729-8ed60f9f5161
BRP_Hidrokontrol Mak. San. Tic. A.S.,c:0t.c|tenant|fd20019a-1597-4d70-93ed-8194990b294c
BRP_Hidro Tarraco,c:0t.c|tenant|48bffd43-382e-4265-914e-cd0c197697d8
BRP_HINE RENOVABLES S.L.,c:0t.c|tenant|a307f944-b2e4-492c-bbaa-9f8601e78432
BRP_HIPLUS,c:0t.c|tenant|35ce0d52-c2f2-422f-ad9a-083190805c02
BRP_HIREF,c:0t.c|tenant|080bcc54-b41e-4d64-af0e-af9fba21dd18
BRP_Hitachi Ar Condicionado do Brasil Ltda,c:0t.c|tenant|0e191c25-afb6-4bdb-b84a-ef7df3f8c8a5
BRP_Hivimar Ecuador,c:0t.c|tenant|231436cc-7aaf-4668-a7ed-2006ee287dcf
BRP_H. Jessen Jurgensen A/S,c:0t.c|tenant|8cc35d8c-f9a0-4cee-aad3-b60c04052204
BRP_Hoare Lea and Partners - Birmingham,c:0t.c|tenant|a48ade24-a9d9-4d6b-8601-7b96e13ee0de
BRP_Hoare Lea and Partners - Leeds,c:0t.c|tenant|c8be1a18-db26-40c4-9078-013637f98039
BRP_Hoare Lea and Partners - Manchester,c:0t.c|tenant|5d43df1e-7cc7-4b7e-b49b-e4766e7e38eb
BRP_Hoare Lea Consulting Engineering,c:0t.c|tenant|d55458cf-806e-480a-901a-632eef90541f
BRP_Hoonje Ind.,c:0t.c|tenant|513c2f00-3ff7-4dd8-9108-9628d96c64fa
BRP_Hoval Limited,c:0t.c|tenant|c40ca3c2-274b-4832-83ee-41ff90d52f59
BRP_HRS Hevac Ltd,c:0t.c|tenant|f283781c-c368-4315-9585-3e601efac943
BRP_Hubbard Products Ltd,c:0t.c|tenant|68d5d7c4-a971-4d0b-af48-9906008b0298
BRP_Hulley & Kirkwood,c:0t.c|tenant|70ae1600-dc61-4459-9e80-f4197f1b255d
"BRP_Hunan Shangchuan Science & Technology Co., Ltd.",c:0t.c|tenant|aaf9105f-2f8e-4384-bb66-29c1b51f9bdd
BRP_Huntraco Zrt.,c:0t.c|tenant|4af6b1d8-14b3-4924-a272-073ecf11f60f
BRP_Hurley Palmer Flatt,c:0t.c|tenant|f39b73a3-60cd-4038-965e-7ca72a3b6b0d
BRP_Huurre Finland Oy,c:0t.c|tenant|ec2dfeb2-9532-4613-a303-f05d902337c1
BRP_HUURRE Frigo Kft.,c:0t.c|tenant|3d68f918-e14e-4ff8-a254-942159ff5393
"BRP_Huurre Ukraine, LTD",c:0t.c|tenant|a46946e1-757e-4b05-9776-f8c27c9254de
BRP_hwenergy,c:0t.c|tenant|671c9e19-6c8c-4fe0-99d6-54f6af6b1849
BRP_HYCO AS,c:0t.c|tenant|c09643c5-613a-4af1-98d2-5216fb6fbc10
BRP_Hydpartner AS,c:0t.c|tenant|03ef8c93-8315-4400-be91-6186cc950b28
BRP_Hydropress,c:0t.c|tenant|922a5124-8950-4763-8ea3-845bd53609b8
BRP_Hydrosolar Sp. z o.o.,c:0t.c|tenant|12c1f453-3b6a-46f0-8fd9-65809e00edd7
BRP_HydX AB,c:0t.c|tenant|94d1aa39-d877-41e4-8e81-20044a0c6749
BRP_Hymatek controls AS,c:0t.c|tenant|a23b0d0a-cc1f-4097-8da2-778e51221e13
"BRP_ICMA Sistemas, S.L.",c:0t.c|tenant|a00fffd6-f790-4eac-ae28-a3c83648bf90
BRP_ICS Cool Energy T/A Tricool Engineering,c:0t.c|tenant|45096843-660a-4e65-9517-d0531df2e9bd
BRP_ICS - Industrial Cooling Systems,c:0t.c|tenant|4b040529-9487-43cb-bbf1-326ceefdf097
BRP_Ideologie,c:0t.c|tenant|7a46a130-5ef8-45d3-beb0-a9c978f925ee
BRP_IMS M�hendislik Danismanlik,c:0t.c|tenant|bbb9fd37-9b46-42b9-aa9f-e995809a1096
BRP_Inducotherm Ltd,c:0t.c|tenant|447a6d85-5538-4c2f-959b-27055670be2d
BRP_Industria Klimatu,c:0t.c|tenant|3001640a-7afa-4c59-a91b-a1b04bf50bef
BRP_Industrial Gines SAU,c:0t.c|tenant|8e9f1463-dbe8-4cde-bb95-5338565ee9f2
BRP_INDUSTRIAL GP SRL,c:0t.c|tenant|e84bc0e0-f9f4-4014-a044-1c348eca692b
BRP_Industrial Heat transfer CC,c:0t.c|tenant|9ed97e68-a218-47e9-94e8-5e3faa17e603
BRP_Industrial Power Cooling Ltd,c:0t.c|tenant|ba410837-4dfd-4a8b-bea3-fbd600c0a786
BRP_Industri & Laboratoriekyl AB,c:0t.c|tenant|2e90f720-f92c-4528-a476-cb266462a90c
BRP_Ing. Marco Cinciripini,c:0t.c|tenant|88a86f08-a108-4634-ba1f-25d5d412b316
BRP_Ing. Panizzi,c:0t.c|tenant|b87ee3ad-c185-494d-8555-aa74417e91da
BRP_Ins-Alfa,c:0t.c|tenant|e55c1339-2620-488d-b208-7816beea1c55
BRP_Insin��ritoimisto AX-LVI Oy,c:0t.c|tenant|b47e9242-ff86-4f4b-9be0-6fbaba425421
BRP_Instal Klima Projekt,c:0t.c|tenant|b0f4088c-d725-4f4e-81c1-d05a54a06ecc
BRP_Integraci�n de soluciones sustentables,c:0t.c|tenant|6b78cd08-5348-4d48-8d3a-2f067f8cbc44
BRP_Integra M�hendislik dan. ins. San. ve Tic Ltd. Sti.,c:0t.c|tenant|86869994-3adc-4ecb-aa23-92e5e446b58f
BRP_Irons Foulner Consultants,c:0t.c|tenant|d552309e-b121-4e47-8b2b-9a290040f10a
BRP_IR Parts ApS,c:0t.c|tenant|5fa967f6-9bd5-46f3-8f85-70ba188a649b
BRP_Isleifur Jonsson,c:0t.c|tenant|a0697925-7336-4459-a112-4dbca22b3bd7
BRP_Isleifur Jonsson ehf,c:0t.c|tenant|21c0bf60-8091-4f04-9d3c-c00ebb5c84ed
BRP_ISOLCELL ITALIA Spa,c:0t.c|tenant|8686f65b-8c36-4df5-ae5e-8f55d5aa4f9c
BRP_ITALIAN consultants,c:0t.c|tenant|e4a67e78-1127-4435-86cd-2a46cf233f95
BRP_Jackson Coulson Partnership,c:0t.c|tenant|08812d2b-1a36-4190-92d4-b525b16a3699
BRP_James J Doherty,c:0t.c|tenant|d81c4c03-fd6f-410a-b163-2976eaf5d0ad
BRP_Jaraba Import SA,c:0t.c|tenant|5a34dae8-ac03-458a-a109-4576583cb82e
BRP_JCI,c:0t.c|tenant|95d89e52-4afc-4529-b556-31dce1b5761a
"BRP_JCI (Johnson Control, Turkey)",c:0t.c|tenant|f87efe4f-ce10-4a8d-aa26-ea207996e32c
BRP_JCI - Milano,c:0t.c|tenant|7546166b-d06b-4951-ae94-63abe79caec8
BRP_J&E Hall Ltd,c:0t.c|tenant|d515ce50-4ce6-49bf-a4ab-72c0334672fc
BRP_Jes�s Suministros Industriales,c:0t.c|tenant|b039b549-83b6-4755-b7d6-e3b35b579ca8
BRP_J Humphrey & Partners,c:0t.c|tenant|8f066ff7-32c9-4c09-93a9-7ec81b7b1946
BRP_Jiangxi Jinchuang Man-Ma,c:0t.c|tenant|b4573968-c328-4a50-b9c8-ae1742bf852f
"BRP_Jinan Zelv Economy Trade Co., Ltd",c:0t.c|tenant|d28f7ed9-226c-4422-92bc-26cf1a95648b
BRP_Jinan Zelv Economy & Trading,c:0t.c|tenant|bbdb7521-5bf4-4e00-a625-2d3bcd969444
BRP_Jitech AB,c:0t.c|tenant|29368657-d5cc-4f22-be81-ddd6005aafa6
BRP_JOCAM Nigeria Ltd.,c:0t.c|tenant|1ac16b9f-9f0d-42c6-9f82-6b664955c742
BRP_Johnson Control BE UK Ltd,c:0t.c|tenant|81d29723-d2cc-4a89-9a75-1ef05646934d
BRP_Johnson Controls,c:0t.c|tenant|261a9d17-ee93-4cd8-85bd-25c4d2b06174
BRP_JOHNSON CONTROLS ARGENTINA S.A (York),c:0t.c|tenant|0308c5b8-7e4a-432e-8d9a-6271034df5a8
BRP_JOHNSON CONTROLS BE DO B,c:0t.c|tenant|29dca120-d032-4ded-a8ab-fc9d1673124c
BRP_Johnson Controls Denmark,c:0t.c|tenant|2d27b2f1-2f37-410b-b958-5f2bd6747e0b
BRP_Johnson Controls - Dubai,c:0t.c|tenant|132f90da-c487-4018-b85b-f042b939485b
BRP_Johnson Controls International Sp. z o.o.,c:0t.c|tenant|b2f2f04f-5440-46de-9a4d-f565c395c9c0
BRP_Johnson Controls Marine,c:0t.c|tenant|55175172-2e9b-426d-87c7-4ea4be7cbe5d
"BRP_JOHNSON CONTROLS PORTUGAL BE, LDA.",c:0t.c|tenant|1b6e03f5-39e4-4a9d-aa49-4c67599453c0
BRP_Johnson Controls S.r.l,c:0t.c|tenant|b651a348-6953-4511-92c6-e95a885f757c
BRP_Johnson Controls Systems & Service AB,c:0t.c|tenant|45fa0fb3-a034-4899-b045-71274f021366
BRP_Jomuti Kft.,c:0t.c|tenant|fa9a8454-91dd-4f54-b795-2387862af777
BRP_Joule UK Ltd,c:0t.c|tenant|367e95d0-a02e-446e-b52c-134372d1edbf
"BRP_JUJUJU AQUACENTER, SL",c:0t.c|tenant|aa4fde75-4bcb-4577-9f46-bf84586ad81b
BRP_K�lteanlagenbau M. Hinterscheid,c:0t.c|tenant|3e206ced-7e1f-48d5-9d35-8bce0fa69ec0
"BRP_Kandai Co., Ltd.",c:0t.c|tenant|e61f3e66-6eb0-4dee-b733-cebc4c984fd1
BRP_Kaplanlar Sogutma,c:0t.c|tenant|662b096e-b785-4407-a76e-6e3cf51f2239
BRP_Kavalani & Sons WLL (Bahrain),c:0t.c|tenant|2c6077b1-caae-44ed-bf19-fefcb009f59d
BRP_Kecskem�ti Termostar H?szolg�ltat�,c:0t.c|tenant|9f1ead18-e2a5-4e99-bcd6-9f144867eeda
BRP_Kelvin Srl,c:0t.c|tenant|67597ed9-1a38-4cc6-92d5-9b8e08033ff6
BRP_Kem�ny Gy�rgy,c:0t.c|tenant|ad589e1c-d5cf-476d-927f-f12e3822a915
"BRP_Kholodilniy respect, LTD",c:0t.c|tenant|f1516600-5797-431e-8f3d-023886a85a8e
BRP_Kilic M�h. Proje,c:0t.c|tenant|bf557568-4452-4d53-b9e8-31c481c6c513
BRP_KKT Anlagenbau GmbH,c:0t.c|tenant|064578ba-9e4a-4774-8453-d77b0955a66e
BRP_Klimaenergy Srl,c:0t.c|tenant|912b75ed-465a-4c36-85f3-480309570d63
BRP_Klimagem S.r.l.,c:0t.c|tenant|3f2bcb90-5e7e-450c-a4c3-880957790200
BRP_Kolb K�lte AG,c:0t.c|tenant|199627e6-7ba9-49d8-b908-91f7aa16e890
BRP_Koldware Industries,c:0t.c|tenant|52bdb591-6378-40ec-a3cd-e51dc0be767d
BRP_Kompakt Sp.z.o.o,c:0t.c|tenant|a3efddbe-34c4-4250-b89c-9f1e899da70f
BRP_Komplex Product Kft.,c:0t.c|tenant|4a0432fd-5931-417c-a659-f079128ee804
"BRP_KONCAR-ENERGETSKI TRANSFORMATORI, d.o.o.",c:0t.c|tenant|8401d87d-c72d-45a1-9be1-48b1afe7906e
BRP_Konepaja Facor Oy,c:0t.c|tenant|2e474c93-9f14-47fd-bed7-84ee1438124e
BRP_Konstyle LTD,c:0t.c|tenant|f7a0c500-5a39-4232-bb8f-559465dd5e33
BRP_Konzanlar Isi Teknolojileri,c:0t.c|tenant|4919109f-f673-437f-abb8-b6e30db30837
BRP_Konzanlar Isitma San. Tic.,c:0t.c|tenant|a6b3edca-5353-401f-8887-a33682729515
BRP_K�r-Terv 68 Kft.,c:0t.c|tenant|e04286f9-4de8-4ff8-9ee3-1bb34a46dc16
BRP_Kozanlar Isitma San. Tic.,c:0t.c|tenant|c5ea6a52-023d-4bad-b7c7-3916843ddb58
BRP_KP MARK s.r.o,c:0t.c|tenant|1a01be4a-8cba-463b-8f4c-68628b43cd44
BRP_Kr�ger Aquacare,c:0t.c|tenant|65d9e91f-2fa9-49d0-9eda-5a25ebb2bfb6
BRP_KTO Supply S.a.s.,c:0t.c|tenant|d61d4159-d628-42ba-821c-0ca37db85908
BRP_K.V.K Kyl-och v�rmetekniska Konstruktionsbyr�n,c:0t.c|tenant|4d6d4e7b-068d-4b9a-8312-556ecad9e2e7
BRP_KVM-Genex A/S,c:0t.c|tenant|d50c3a50-780e-4ad7-88b0-90b3d616ea36
BRP_Kylmet Oy,c:0t.c|tenant|09698fa0-d522-42ea-863e-7f289a99d07b
BRP_Kylmontage Redotem AB,c:0t.c|tenant|716093cd-7157-4e3c-b97a-51d21244f9ca
BRP_Lafipa SIA,c:0t.c|tenant|12cc68e3-90ee-4596-8bf4-95791901873c
BRP_Lamett,c:0t.c|tenant|ed91d9f1-c9ff-43c4-a97f-6b2492d95af2
BRP_Lappeenrannan teknillinen,c:0t.c|tenant|5f49246a-78e2-40aa-a009-a82b10bddaee
BRP_Lautan Teknik Biru Indonesia,c:0t.c|tenant|784e8fc7-6c84-4a5b-8dde-8f7af5e5f9ab
BRP_Leasegreen,c:0t.c|tenant|f0e73518-6dfc-4414-a30f-ff6658f6c7d3
BRP_Ledovit,c:0t.c|tenant|9d758e86-00eb-4f18-856a-cad891f8b25f
BRP_Leicestershire County Council,c:0t.c|tenant|a9cadcaf-8e8f-4608-81a3-8991d3ab0f68
BRP_Leminar Global Distribution & Services WLL (Qatar),c:0t.c|tenant|aef2a31c-1f79-46a9-b701-933b716be73d
BRP_Lenergy Magyarorszag Kft.,c:0t.c|tenant|96e50526-aaad-4f5e-996c-ac346fefc60c
"BRP_Lennox Refac, S.A.",c:0t.c|tenant|df4d29aa-ca0c-43ce-8cb0-b2a6c6550b7a
BRP_LHG Kft.,c:0t.c|tenant|26fc3ec1-5cd4-476e-a5e2-ac42b49d2875
BRP_LINEA FRIGOR S.R.L.,c:0t.c|tenant|9b0d7f7b-b5c7-4f17-be69-e8aedd01d90b
BRP_Liquid Dynamics Ltd,c:0t.c|tenant|6a532d21-62c9-46b7-ae30-4abf71fcb63e
BRP_Longofrigo Srl,c:0t.c|tenant|4ba32255-be1d-475d-8840-b50f4fa3524e
BRP_LONGYEARBYEN LOKALSTYRE,c:0t.c|tenant|97888ed3-7798-4f34-8523-b2ca9fec2edf
BRP_Loughborough University,c:0t.c|tenant|1d809f05-0f45-4843-b88f-8c315f4be02d
BRP_Lovell Partnership,c:0t.c|tenant|866abc75-4546-47cc-8dfc-5a534b6d1cc6
BRP_Lubeteam Hydraulic S.r.l.,c:0t.c|tenant|b963251e-a529-40b0-9672-ceb47c1f3928
BRP_Macolis S.A.,c:0t.c|tenant|4964a1aa-62a8-42f3-b110-c3e20a3a4ec8
BRP_Manchester Metropolitan University,c:0t.c|tenant|db36eb10-4a30-4b7e-93ef-51259873bf72
BRP_Manish Bearing Enterprises,c:0t.c|tenant|1d681acc-fc98-4451-9de0-13482b2a3121
BRP_MAQUIMOTOR S/A,c:0t.c|tenant|ff376a38-199c-473a-944b-6e9a326c2019
BRP_MAR PRODUZIONI S.r.l.,c:0t.c|tenant|b63bcc8b-762b-4c49-b0cd-1a2418a3b584
BRP_Martin Design Associates,c:0t.c|tenant|a6247090-2891-4429-a653-bda293049c34
BRP_Matas Ramis S.A.,c:0t.c|tenant|aef6e1e6-ca66-4661-87b4-22c2aac526e8
BRP_Matex ?�d?,c:0t.c|tenant|0d7b2b1c-f8ef-4449-a0a3-85507cc5ac77
BRP_Matra Int srl,c:0t.c|tenant|cdfbf8b9-3839-44b9-b041-0a34ad724650
BRP_Matra Int. Srl,c:0t.c|tenant|5c4a6861-338f-4936-a3f9-f5bbbf8c142f
BRP_Max Fordham LLP - Edinburg,c:0t.c|tenant|97e28431-9032-4600-a20a-8eebe8dff3d4
BRP_Max Fordham LLP - Manchester,c:0t.c|tenant|00a79185-839b-49d8-9c1d-43eaed3b7cc5
BRP_Maxtwo Process Solutions Sdn Bhd,c:0t.c|tenant|c5fde7f3-a59c-4d25-84ff-4a2e8e1ee523
